City,Country,Cloudiness,date,Humidity,Latitude,Longitude,Maximum Temp,Wind Speed
Faya,SA,0,1569364574,60,18.39,42.45,69.8,2.01
Yellowknife,CA,75,1569364574,61,62.45,-114.38,46.4,14.99
Hilo,US,75,1569364575,58,19.71,-155.08,87.8,9.17
Ushuaia,AR,40,1569364556,75,-54.81,-68.31,44.6,28.86
Chuy,UY,0,1569364384,87,-33.69,-53.46,54.98,7.81
Nemuro,JP,0,1569364576,58,43.32,145.57,58.58,17.27
Kalmunai,LK,80,1569364576,84,7.42,81.82,74.96,1.77
Yulara,AU,60,1569364576,93,-25.24,130.99,48.2,5.82
Pandamatenga,BW,39,1569364577,45,-18.54,25.64,72.62,9.13
Georgetown,GY,20,1569364562,79,6.8,-58.16,84.2,11.41
Xai-Xai,MZ,79,1569364577,74,-25.04,33.64,64.7,9.62
Atuona,PF,0,1569364578,77,-9.8,-139.03,79.64,16.91
Jamestown,AU,0,1569364579,53,-33.21,138.6,59.3,11.12
Provideniya,RU,90,1569364579,88,64.42,-173.23,41.0,8.95
Rikitea,PF,68,1569364579,67,-23.12,-134.97,70.64,5.86
Souillac,FR,75,1569364580,82,45.6,-0.6,64.0,11.41
Gasa,BT,89,1569364581,83,27.91,89.73,33.92,5.1
Kutum,SD,74,1569364581,39,14.2,24.66,81.26,8.12
Iqaluit,CA,40,1569364581,86,63.75,-68.52,35.6,3.36
Khatanga,RU,67,1569364582,77,71.98,102.47,34.82,10.02
Kapaa,US,75,1569364582,66,22.08,-159.32,87.8,12.75
Mahebourg,MU,40,1569364582,88,-20.41,57.7,71.6,12.75
Castro,CL,0,1569364583,82,-42.48,-73.76,57.2,8.05
Tasiilaq,GL,100,1569364583,93,65.61,-37.64,41.0,4.7
Vanino,RU,0,1569364585,77,53.93,40.55,35.01,5.64
Wad Rawah,SD,73,1569364585,44,15.16,33.13,87.74,7.38
Busselton,AU,87,1569364585,78,-33.64,115.35,55.99,14.79
Punta Arenas,CL,40,1569364586,53,-53.16,-70.91,51.8,6.93
Cape Town,ZA,0,1569364427,72,-33.93,18.42,62.01,6.93
